id,popularity,return,vote_average,release_year,runtime,belongs_to_collection,production_companies,production_countries,16,35,10751,12,14,10749,18,28,80,53,27,36,878,9648,10752,10402,99,37,10769,10770,en,fr,es,de,it,ja,ru,zh,pt,cn,other_lang
117,11.062203,3.05081816,7.6,1987,119.0,,[4],['US'],0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,22.038405,3.16645842,6.7,2005,115.0,,"[79, 80, 6194, 8601, 45778, 55512]","['AU', 'GB', 'US']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,32.070725,9.369552301075268,8.0,2001,178.0,119,"[11, 12, 5237]","['NZ', 'US']",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,29.423537,11.725156962025316,8.0,2002,179.0,119,"[11, 12, 5237]","['NZ', 'US']",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,29.324358,11.903074244680852,8.1,2003,201.0,119,"[11, 12]","['NZ', 'US']",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,7.914795,7.617855,6.1,1978,132.0,141290,"[60, 286]",['US'],1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,3.256676,0.0,7.0,1985,109.0,,[1587],['PL'],0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,3.208221,0.0,7.7,1987,123.0,,[1587],['PL'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,17.166725,6.014162566037736,8.2,1997,134.0,,"[14, 10342, 12516, 20192]",['JP'],1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,41.048867,18.32833966666667,8.3,2001,125.0,,[10342],['JP'],1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,12.434175,2.764166423076923,7.3,2000,106.0,,"[33, 2092, 5870, 9195, 10163]","['FR', 'GB', 'US']",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,9.074348,0.0,7.7,1932,64.0,,[8411],['US'],0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
137,12.989627,4.85664198630137,7.4,1993,101.0,,[5],['US'],0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
138,7.503126,2.8512366197183097,7.2,1931,72.0,221539,[33],['US'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
140,7.66414,8.0533964,7.1,2004,106.0,,"[6780, 9335, 11736]",['ES'],0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,18.303148,0.2117536666666666,7.7,2001,113.0,178106,"[185, 306, 2214, 3334]",['US'],0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,11.787044,12.7174115,7.5,2005,134.0,,"[1246, 3997, 10146, 10565]","['CA', 'US']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,15.235056,0.0,7.5,1930,133.0,,[33],['US'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
144,6.357321,1.28,7.5,1987,128.0,,"[45, 6116, 7025]","['DE', 'FR']",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
145,8.558688,0.0,7.2,1996,159.0,498,"[123, 125]","['DK', 'FR', 'IS', 'NL', 'NO', 'SE']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,19.944953,12.560337411764706,7.2,2000,120.0,290973,"[58, 2269, 2798, 10565, 12205, 20289, 20290, 20291]","['CN', 'HK', 'TW', 'US']",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,7.268688,0.0,8.0,1959,99.0,185682,"[53, 10897, 10932]",['FR'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
148,12.775583,0.0,6.8,2005,112.0,,[78],['ES'],0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
149,10.888917,0.069146375,7.8,1988,124.0,,"[528, 882, 3363, 6999, 9155, 10919, 10920, 10921]",['JP'],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,15.297121,6.572375666666667,6.5,1982,96.0,93295,[4],['US'],0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,8.277765,3.971428571428572,6.2,1979,132.0,151,[4],['US'],0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,11.609441,29.930964,7.3,2003,102.0,,[70],"['JP', 'US']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
154,7.160236,8.066666666666666,7.3,1982,113.0,151,[4],['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,123.167259,5.430045643243243,8.3,2008,152.0,263,"[429, 923, 6194, 9993, 9996]","['GB', 'US']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
157,6.197298,4.833333333333333,6.4,1984,105.0,151,[4],['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
158,7.203307,0.0,7.6,1997,87.0,,[7594],"['BE', 'DE', 'NL']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,8.593319,0.0,6.1,1994,90.0,,"[47, 99]",['DE'],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,5.256608,0.0,6.9,1896,1.0,,[11793],['FR'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,12.114932,5.302554705882353,7.2,2001,116.0,304,"[79, 129, 172, 2596, 6194, 24939]",['US'],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
162,17.612244,2.65,7.5,1990,105.0,,[306],['US'],0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,11.869347,3.2976752727272727,6.4,2004,125.0,304,"[79, 129, 2596, 6194, 12202]",['US'],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
164,10.879289,3.8,7.6,1961,110.0,,"[4, 11355]",['US'],0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
165,13.689855,8.3,7.4,1989,108.0,264,"[33, 56, 20448]",['US'],0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,12.105748,0.0,6.4,1980,110.0,41649,"[9, 7961, 28766]",['FR'],0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
167,12.400152,1.0482320833333334,7.1,2001,120.0,,"[763, 840, 1178, 19116]","['DE', 'GB', 'US']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,12.596956,5.541666666666667,6.9,1986,119.0,151,[4],['US'],0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,11.736241,1.6320090857142855,6.0,1990,108.0,399,"[306, 840, 1302, 1885]",['US'],0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,17.656951,16.543977,7.1,2002,113.0,1565,"[284, 10889]",['GB'],0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
171,4.964833,0.0,6.3,1982,109.0,41649,"[9, 7961, 28766]",['FR'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,12.308007,2.34,5.6,1989,107.0,151,[4],['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,8.722406,5.64,6.9,1954,127.0,,[3166],['US'],0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,5.90057,3.588888888888889,6.7,1991,113.0,151,[4],['US'],0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,13.503815,0.0,7.6,1988,168.0,,[9],"['FR', 'IT', 'US']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
176,23.508433,86.5930575,7.2,2004,103.0,656,"[35, 2061, 23019, 55405]",['US'],0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,11.184385,1.7456454583333334,7.2,1991,137.0,,[559],['US'],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,13.155071,0.0,6.0,1994,121.0,,"[2231, 8411]",['US'],0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,12.047671,2.0368115375,6.2,2005,128.0,,"[33, 694, 932, 10163, 11581, 20194]","['FR', 'DE', 'GB', 'US']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
180,20.666063,3.5134600588235294,7.1,2002,145.0,,"[27, 44, 56, 306, 766, 26265, 76068]",['US'],0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
